RGBController,Category,Type,Name,VID,PID,SVID,SPID,Save,Direct,Effects,Comments
"BloodyMouse","Mouse","USB","Bloody W60 Pro","09DA","37EA","","","❌","✔️","❌",""
"BloodyMouse","Mouse","USB","Bloody MP 50RS","09DA","FA60","","","❌","✔️","❌",""
"AMD Wraith Prism","Cooler","USB","AMD Wraith Prism","2516","0051","","","🚫","✔️","⚒️","The Wraith Prism comes with 2 cables but is only detectable
and controlable when using the USB cable. `Morse Code` and `Mirage`
modes have not been implemented. Saving to flash is supported by
the device but not yet implemented."
"ASrock Polychrome USB","Motherboard","USB","ASRock Polychrome USB","26CE","01A2","","","🤖","❌","✔️","ASRock Polychrome controllers will save with each update.
Per ARGB LED support is not possible with these devices."
"ASrock Polychrome USB","Motherboard","USB","ASRock Deskmini Addressable LED Strip","26CE","01A6","","","🤖","❌","✔️","ASRock Polychrome controllers will save with each update.
Per ARGB LED support is not possible with these devices."
"ASRock ASR RGB SMBus","Motherboard","SMBus","","","","","","🤖","❌","✔️","ASRock ASR RGB LED controllers will save with each update.
Per ARGB LED support is not possible with these devices."
"ASRock Polychrome v1 SMBus","Motherboard","SMBus","","","","","","🤖","❌","✔️","ASRock Polychrome v1 controllers will save with each update.
Per ARGB LED support is not possible with these devices.
ARGB size  and color order is set using the `ARGB Header Config mode`
`Right` = GRB mode that is needed for WS2812B ARGB devices and `Left` = RGB used for WS2811 strips
The modes speed slider will set the size of the header
Spectrum Cycles uses the RGB values to set the individual color brightness."
"ASRock Polychrome v2 SMBus","Motherboard","SMBus","","","","","","🤖","❌","✔️","ASRock Polychrome v2 controllers will save with each update.
Per ARGB LED support is not possible with these devices."
"Alienware","Keyboard","USB","Dell G Series LED Controller","187C","0550","","","❌","❌","✔️",""
"Alienware AW510 Keyboard","Keyboard","USB","Alienware AW510K","04F2","1830","","","❌","✔️","✔️",""
"Anne Pro 2","Keyboard","USB","Anne Pro 2","04D9","8008","","","❌","✔️","❌",""
"Anne Pro 2","Keyboard","USB","Anne Pro 2","04D9","8009","","","❌","✔️","❌",""
"Anne Pro 2","Keyboard","USB","Anne Pro 2","04D9","A292","","","❌","✔️","❌",""
"Anne Pro 2","Keyboard","USB","Anne Pro 2","04D9","A293","","","❌","✔️","❌",""
"Asus AURA Core","Keyboard
LEDStrip","USB","ASUS Aura Core","0B05","1854","","","❌","🚨","✔️",""
"Asus AURA Core","Keyboard
LEDStrip","USB","ASUS Aura Core","0B05","1866","","","❌","🚨","✔️",""
"Asus AURA Core","Keyboard
LEDStrip","USB","ASUS Aura Core","0B05","1869","","","❌","🚨","✔️",""
